Group,Name,Gene
Nucleotide sugar synthesis,GALE,UDP-galactose 4-epimerase
Nucleotide sugar synthesis,GNE,UDP-N-acetylglucosamine-2 epimerase (Human)
Nucleotide sugar synthesis,NANS,Sialic acid synthase
Nucleotide sugar synthesis,NANP,N-acetylneuraminic acid phosphatase
Nucleotide sugar synthesis,CMAS,Cytidine monophospho-sialic acid synthase
Nucleotide sugar transporter,SLC35A1,CMP-sialic acid transporter
Nucleotide sugar transporter,SLC35A2,UDP-galactose transporter
Nucleotide sugar transporter,SLC35A3,UDP-N-acetylglucosamine transporter
Nucleotide sugar transporter,SLC35C1,GDP-fucose transporter
Glycan- processing glycosidase,GANC,Neutral a-glucosidase C
Glycan- processing glycosidase,MANEA,Endo-a mannosidase
Glycan- processing glycosidase,MAN1A1,"Mannosyl-oligosaccharide 1,2-a-mannosidase IA"
Glycan- processing glycosidase,MAN1B1,"Mannosyl-oligosaccharide 1,2-a-mannosidase IB"
Glycan- processing glycosidase,MAN1C1,"Mannosyl-oligosaccharide1,2-a-mannosidase IC (isoform 1)"
Glycan- processing glycosidase,MAN2A2,a-mannosidase 2A member 2
Glycan- processing glycosidase,MAN2B1,"a-mannosidase, class 2B, member 1"
Glycan- processing glycosidase,MAN2B2,"a-mannosidase, class 2B, member 2"
Glycan- processing glycosidase,MAN2C1,"a-mannosidase, class 2C, member 1"
N-Glycan chain extension,MGAT1,"a-1,3-mannosyl-glycoprotein 2-B-N-acetylglucosaminyltransferase"
N-Glycan chain extension,MGAT2,"a-1,6-mannosyl-glycoprotein 2-B-N-acetylglucosaminyltransferase"
N-Glycan chain extension,MGAT3,"B-1,4-mannosyl-glycoprotein 4-B-N-acetylglucosaminyltransferase"
N-Glycan chain extension,MGAT4A,"a-1,3-mannosyl-glycoprotein 4-B-N-acetylglucosaminyltransferase A"
N-Glycan chain extension,MGAT4B,"a-1,3-mannosyl-glycoprotein 4-B-N-acetylglucosaminyltransferase B"
N-Glycan chain extension,MGAT4C,"a-1,3-mannosyl-glycoprotein 4-B-N-acetylglucosaminyltransferase C"
N-Glycan chain extension,MGAT5,"a-1,6-mannosyl-glycoprotein 6-B-N-acetylglucosaminyltransferase"
N-Glycan chain extension,MGAT5B,"a-1,6-mannosyl-glycoprotein 6-B-N-acetylglucosaminyltransferase B"
Galactosylation,B4GALT1,"B-1,4-Galactosyltransferase 1"
Galactosylation,B4GALT2,"B-1,4-Galactosyltransferase 2"
Galactosylation,B4GALT3,"B-1,4-Galactosyltransferase 3"
Galactosylation,B4GALT4,"B-1,4-Galactosyltransferase 4"
Galactosylation,B4GALT5,"B-1,4-Galactosyltransferase 5"
Galactosylation,B4GALT6,"B-1,4-Galactosyltransferase 6"
Galactosylation,B4GALT7,"B-1,4-Galactosyltransferase 7"
Sialylation,ST3GAL1,"B-Galactoside -a-2,3-sialyltransferase 1"
Sialylation,ST3GAL2,"B-Galactoside -a-2,3-sialyltransferase 2"
Sialylation,ST3GAL3,"B-Galactoside -a-2,3-sialyltransferase 3"
Sialylation,ST3GAL4,"B-Galactoside -a-2,3-sialyltransferase 4"
Sialylation,ST3GAL5,"B-Galactoside -a-2,3-sialyltransferase 5"
Sialylation,ST3GAL6,"B-Galactoside -a-2,3-sialyltransferase 6"
Sialylation,ST6GAL1,"B-Galactoside -a-2,6-sialyltransferase 1"
Sialylation,ST6GAL2,"B-Galactoside -a-2,6-sialyltransferase 2"
Fucosylation,FUT8,"a-1,6-Fucosyltransferase"
